,z,y,x,intensity,volume
0,   0.5, 1.215,13.689,73882,0.0419904
1,   0.4, 2.511,19.197,32682,0.0209952
2,   0.4, 5.103,16.443,34826,0.0209952
3,  0.44,5.2488,10.3032,38565,0.026244
4,   0.4, 5.751,15.147,37870,0.0209952
5,   0.4, 6.561, 6.723,33094,0.0209952
6,   0.4, 7.371, 7.209,36922,0.0209952
7,  0.52,7.3548,11.3724,39588,0.026244
8,0.514286,9.81257,22.1014,55161,0.0367416
9,   0.4,11.259,15.957,33027,0.0209952
10,   0.4,11.178,22.518,8105,0.0052488
11,   0.5,12.555,13.689,66230,0.0419904
12,   0.4,12.636,21.4766,59989,0.0367416
13,   0.5,13.203,14.418,30769,0.0209952
14,0.514286,14.6494,21.5229,60079,0.0367416
15,0.485714,15.1586,20.0186,58522,0.0367416
16,   0.5,16.929,20.007,70395,0.0419904
17,   0.4,19.197,19.683,33771,0.0209952
18,0.485714,20.3426,19.6714,58873,0.0367416
19,0.533333,23.058,25.677,48304,0.0314928
20,0.485714,27.3086,26.4754,57489,0.0367416
21,   0.5,35.721,24.705,68347,0.0419904
22,0.485714,37.3526,25.0406,60298,0.0367416
23,   0.4,38.988,27.594,23791,0.0157464
24,   0.4,39.636,25.542,23644,0.0157464
25,   0.4,39.933,23.895,36205,0.0209952
26,   0.6, 2.511,10.125,35215,0.0209952
27,   0.6, 5.427,16.119,36521,0.0209952
28,  0.68,6.2208,13.9644,45855,0.026244
29,   0.7, 7.533,14.499,67843,0.0419904
30,  0.64,7.8732,17.7228,47271,0.026244
31,   0.7,12.555,20.007,68285,0.0419904
32,0.685714,13.3766,12.2426,63564,0.0367416
33,   0.6,13.365,15.471,35152,0.0209952
34,   0.7,14.013,20.331,69607,0.0419904
35,0.657143,14.2791,12.0806,59716,0.0367416
36,   0.6, 15.66,  18.9,24369,0.0157464
37,   0.7,16.119,20.007,64714,0.0419904
38,0.685714,17.2646,15.9454,63193,0.0367416
39,   0.6,18.063,21.303,33805,0.0209952
40,  0.65,18.8325,23.3685,35143,0.0209952
41,   0.6,21.303,23.733,32679,0.0209952
42,   0.6,21.627,17.901,32246,0.0209952
43,  0.68,35.4456,21.1572,41090,0.026244
44,0.666667,35.316,27.432,24603,0.0157464
45,   0.8, 1.404,14.472,24073,0.0157464
46,   0.8, 2.268,  7.29,8150,0.0052488
47,   0.8, 6.804,12.555,15320,0.0104976
48,   0.8, 7.371,15.957,36847,0.0209952
49,   0.8,7.8165,21.546,32255,0.0209952
50,   0.8,11.7612,22.9716,42217,0.026244
51,   0.8,13.6404,13.6728,42416,0.026244
52,   0.8,14.661,10.773,32558,0.0209952
